County,"Hillary Clinton, 
DEM","Henry Hewes, 
DEM","Roque  Rocky  De La Fuente, 
DEM","Bernie Sanders, 
DEM","Keith Judd, 
DEM","Willie L. Wilson, 
DEM","Martin J. O Malley, 
DEM","John Wolfe, 
DEM","Jon Adams, 
DEM","Uncommitted, 
DEM","Chris Christie, 
REP","Jeb Bush, 
REP","Ben Carson, 
REP","Donald J. Trump, 
REP","Marco Rubio, 
REP","Ted Cruz, 
REP","Rick Santorum, 
REP","Carly Fiorina, 
REP","John R. Kasich, 
REP","Rand Paul, 
REP","Jim Lynch, 
REP","Mike Huckabee, 
REP","Uncommitted, 
REP","Austin Petersen, 
LIB","Steven Elliott  Steve  Kerbel, 
LIB","Rhett Rosenquest Smith, 
LIB","Cecil Ince, 
LIB","Marc Allan Feldman, 
LIB","Uncommitted, 
LIB","Uncommitted, 
CST"
St. Louis,"89,559",106,58,"71,279",39,40,83,48,87,651,277,536,809,"47,975","12,286","47,727",117,134,"23,541",224,13,147,498,152,89,14,29,46,321,168

St. Louis City,"35,050",47,24,"28,263",18,22,33,13,13,275,22,67,81,"5,091","1,445","4,537",18,14,"2,586",41,4,17,92,39,15,0,5,3,62,32

Ste. Genevieve,842,1,2,799,1,3,3,1,4,20,1,13,19,"1,081",124,997,2,2,176,3,1,2,11,2,0,1,2,0,5,3

Stoddard,674,2,1,489,2,0,3,1,1,17,5,11,49,"3,025",226,"2,141",1,1,309,7,0,30,13,1,1,0,0,2,3,5

Stone,815,2,1,888,0,1,4,0,3,17,10,22,66,"3,960",306,"3,235",7,2,591,8,0,23,19,2,2,0,0,0,5,3

Sullivan,177,0,0,113,2,0,2,0,0,3,3,5,8,510,44,331,0,0,82,4,0,6,4,1,1,0,0,0,1,2

Taney,"1,203",2,0,"1,381",2,2,0,1,1,15,18,25,121,"5,094",504,"4,193",5,5,679,18,0,45,31,2,0,1,0,2,8,2

Texas,603,5,3,666,1,0,7,0,4,12,8,28,64,"2,659",178,"1,968",3,1,241,16,1,21,26,2,0,0,2,1,1,0

Vernon,491,2,1,518,1,0,3,1,0,10,10,17,59,"1,530",134,"1,142",6,0,237,3,0,18,11,2,1,0,0,1,2,2

Warren,986,5,1,"1,222",1,2,3,0,0,22,12,5,54,"2,722",269,"2,392",3,3,412,16,0,11,18,2,1,0,0,0,11,1

Washington,754,2,2,664,2,3,2,3,5,29,6,15,24,"1,666",111,"1,329",2,1,103,7,0,5,8,0,1,1,0,1,0,4

Wayne,393,3,0,264,2,3,0,0,4,11,8,5,25,"1,376",82,874,3,2,135,2,0,14,8,1,0,0,0,0,3,4

Webster,943,2,0,"1,171",3,0,2,1,4,14,13,23,71,"3,046",307,"4,138",5,2,398,12,0,33,12,2,3,0,1,3,4,2

Worth,59,0,0,76,0,1,0,0,0,6,2,2,2,224,29,174,1,0,36,1,0,1,3,0,0,0,0,0,0,0

Wright,402,0,1,385,1,1,0,2,0,4,9,7,29,"1,874",121,"1,808",5,1,176,3,0,17,9,0,0,0,0,1,1,0
